    PID %CPU %MEM COMMAND
   3335 10.4  1.7 firefox
   1997  7.4  8.4 baloo_file
   1998  6.8  0.6 kwin_wayland
  82286  6.5  1.0 vesktop
 149181  4.7  0.0 baloo_file_extr
  82191  4.5  0.5 vesktop
 147573  4.0  0.9 Isolated Web Co
  41265  3.8  0.7 localsend
   5689  3.1  1.9 headroom
 138999  2.5  0.6 claude
 139882  2.0  0.6 Isolated Web Co
 132868  1.9  1.0 Isolated Web Co
  82237  1.7  0.8 vesktop
   6270  1.6  0.5 claude
   5546  1.5  1.2 Isolated Web Co
   7620  1.2 21.1 qbittorrent
   3722  1.1  0.7 WebExtensions
 137116  0.8  0.5 signal-desktop
 139126  0.5  0.5 claude
 137087  0.4  0.5 signal-desktop
   1166  0.4  0.1 opensnitchd
    476  0.3  0.0 nv_queue
   9695  0.3  0.9 mpv
   6172  0.2  0.4 claude
