    PID %CPU %MEM COMMAND
 182326 48.6  2.3 baloo_file_extr
 181023 10.2  0.5 claude
   3335  9.7  2.0 firefox
 177635  6.8  0.9 Isolated Web Co
   1997  6.6  8.4 baloo_file
   1998  6.1  0.6 kwin_wayland
  82191  4.3  0.5 vesktop
  82286  4.2  0.8 vesktop
 177282  3.9  0.8 Isolated Web Co
  41265  3.3  0.7 localsend
   5689  2.7  1.9 headroom
 181266  2.6  0.7 Isolated Web Co
   5546  1.3  1.3 Isolated Web Co
   7620  1.3 28.3 qbittorrent
   6270  1.2  0.5 claude
  82237  1.2  0.7 vesktop
 178901  1.1  0.4 Isolated Web Co
   3722  1.1  0.8 WebExtensions
 175898  0.8  0.5 Isolated Web Co
 182330  0.6  0.1 Web Content
 137116  0.4  0.6 signal-desktop
   1166  0.4  0.1 opensnitchd
    476  0.3  0.0 nv_queue
   9695  0.2  0.9 mpv
