    PID %CPU %MEM COMMAND
   3335 10.0  1.8 firefox
   1997  7.2  8.5 baloo_file
   1998  6.4  0.6 kwin_wayland
  82191  4.3  0.5 vesktop
 200022  4.2  0.5 claude
  82286  4.0  0.8 vesktop
 198914  3.9  0.5 claude
 177635  3.6  0.9 Isolated Web Co
   5689  3.1  1.9 headroom
 202225  3.0  0.6 Isolated Web Co
 197120  1.7  0.0 aria2c
   7620  1.2 27.8 qbittorrent
   6270  1.2  0.5 claude
  82237  1.2  0.7 vesktop
   3722  1.1  0.7 WebExtensions
 177282  0.9  0.7 Isolated Web Co
 201636  0.8  0.7 Isolated Web Co
 197102  0.6  0.2 python3.13
 175898  0.6  0.6 Isolated Web Co
 137116  0.5  0.6 signal-desktop
   1166  0.4  0.1 opensnitchd
    476  0.4  0.0 nv_queue
   9695  0.2  0.9 mpv
  62675  0.2  1.0 plasmashell
   2324  0.2  0.3 opensnitch-ui
   1858  0.2  0.0 napi/wg0-mullvad-0
   3072  0.2  0.5 spotify
   6150  0.2  0.3 konsole
 137087  0.2  0.5 signal-desktop
