    PID %CPU %MEM COMMAND
  98078 17.5  0.1 cove-replay-eng
  82286 10.1  0.6 vesktop
   3335  9.2  1.5 firefox
   1998  6.5  0.5 kwin_wayland
  82191  4.7  0.5 vesktop
  41265  4.6  0.7 localsend
   1997  4.6  8.4 baloo_file
   5689  2.8  1.8 headroom
  82237  2.5  0.6 vesktop
   6270  2.1  0.5 claude
  89423  1.8  0.7 Isolated Web Co
   5546  1.1  1.1 Isolated Web Co
  87162  1.1  0.5 claude
   3722  1.1  0.6 WebExtensions
   7620  1.1 19.8 qbittorrent
  87269  0.7  0.5 claude
  63544  0.5  0.6 claude
   1166  0.3  0.1 opensnitchd
   9695  0.3  1.0 mpv
   6172  0.3  0.4 claude
    476  0.3  0.0 nv_queue
  64996  0.3  0.7 Isolated Web Co
  73047  0.2  0.7 Isolated Web Co
  63432  0.2  0.5 claude
  97674  0.2  0.0 kworker/2:3-wg-crypt-wg0-mullvad
   2324  0.2  0.3 opensnitch-ui
  64169  0.2  0.3 file:// Content
  62675  0.2  0.9 plasmashell
   6150  0.2  0.3 konsole
